	id	logo	name	token	tokenDescription	tokenAddress	tokenDecimals	tokenDescriptionUrl	earnedToken	earnedTokenAddress	earnContractAddress	pricePerFullShare	tvl	oracle	oracleid	oraclePrice	depositsPaused	status	platform	assets	callFee	launchpool	refundContractAddress
10	cake-xmark-busd	busd-pairs/XMARK-BUSD.svg	XMARK-BUSD LP	XMARK-BUSD LP	Uses: Pancake	0x292Ca56ED5b3330A19037f835Af4A9c0098EA6Fa	18	#	mooPancakeXMARK-BUSD	0x9De53755e913913dEcA7360a19C0634F2214FB6d	0x9De53755e913913dEcA7360a19C0634F2214FB6d	1	0	lps	cake-xmark-busd	0	False	active	Pancake	['XMARK', 'BUSD']	0.5		
11	soup-soup-bnb	degens/SOUP-BNB.svg	SOUP-BNB LP	SOUP-BNB LP	Uses: Pancake	0x284A5D8712C351Ca28417d131003120808dcE48B	18	#	mooSoupSoup-BNB	0xDB89f01094c6e882d06aBC724aEBc7d15036fe14	0xDB89f01094c6e882d06aBC724aEBc7d15036fe14	1	0	lps	soup-soup-bnb	0	False	active	SoupFinance	['SOUP', 'BNB']	0.5		
12	soup-soups-bnb	degens/SOUPS-BNB.svg	SOUPS-BNB LP	SOUPS-BNB LP	Uses: Pancake	0x6304Ae062c6bDf3D24Ac86374C7019A025443247	18	#	mooSoupSoups-BNB	0xe698edcC279f68c2c37f5c122a26faBd5f6D98A3	0xe698edcC279f68c2c37f5c122a26faBd5f6D98A3	1	0	lps	soup-soups-bnb	0	False	active	SoupFinance	['SOUPS', 'BNB']	0.5		
13	banana-banana-bnb	degens/banana-bnb.svg	BANANA-BNB LP	BANANA-BNB LP	Uses: ApeSwap	0xF65C1C0478eFDe3c19b49EcBE7ACc57BB6B1D713	18	#	mooApeBANANA-BNB	0x15396D3BD9338A14AE90613Fc2b85c5F7b5621CF	0x15396D3BD9338A14AE90613Fc2b85c5F7b5621CF	1	0	lps	banana-banana-bnb	0	False	active	ApeSwap	['BANANA', 'BNB']	0.5		
14	banana-banana-busd	degens/banana-busd.svg	BANANA-BUSD LP	BANANA-BUSD LP	Uses: ApeSwap	0x7Bd46f6Da97312AC2DBD1749f82E202764C0B914	18	#	mooApeBANANA-BUSD	0x651b496bCe2C184282a2B9AeF3f8BaDBAC36Dd7f	0x651b496bCe2C184282a2B9AeF3f8BaDBAC36Dd7f	1	0	lps	banana-banana-busd	0	False	active	ApeSwap	['BANANA', 'BUSD']	0.5		
15	cake-bmxx-bnb	bnb-pairs/BMXX-BNB.svg	BMXX-BNB LP	BMXX-BNB LP	Uses: Pancake	0x4D5aA94Ce6BbB1BC4eb73207a5a5d4D052cFcD67	18	#	mooPancakeBMXX-BNB	0xE7DCEFacf1c9c523c1ccCc3Fc1Ae3EB654a4e805	0xE7DCEFacf1c9c523c1ccCc3Fc1Ae3EB654a4e805	1	0	lps	cake-bmxx-bnb	0	False	active	Pancake	['BMXX', 'BNB']	0.5		
16	cake-bor-bnb	bnb-pairs/BOR-BNB.svg	BOR-BNB LP	BOR-BNB LP	Uses: Pancake	0x86E650350C40a5178a5D014ba37FE8556232B898	18	#	mooPancakeBOR-BNB	0x2EA1175f7189BeAdd6D8A7687B0a311C6785a7a3	0x2EA1175f7189BeAdd6D8A7687B0a311C6785a7a3	1	0	lps	cake-bor-bnb	0	False	active	Pancake	['BOR', 'BNB']			
17	cake-bopen-bnb	bnb-pairs/BOPEN-BNB.svg	BOPEN-BNB LP	BOPEN-BNB LP	Uses: Pancake	0x9d8b7e4a9D53654D82F12c83448D8f92732bC761	18	#	mooPancakeBOPEN-BNB	0x847c5748A280d800690F7D3A62574603b57Cd0b7	0x847c5748A280d800690F7D3A62574603b57Cd0b7	1	0	lps	cake-bopen-bnb	0	False	active	Pancake	['BOPEN', 'BNB']	0.5		
18	1inch-1inch-bnb	single-assets/INCH.png	1INCH-BNB LP	1INCH-BNB LP	Uses: 1Inch	0xdaF66c0B7e8E2FC76B15B07AD25eE58E04a66796	18	#	moo1INCH1INCH-BNB	0x2139E4CaDA8438a41F4009ff07D09Db29A62De04	0x2139E4CaDA8438a41F4009ff07D09Db29A62De04	1	0	lps	1inch-1inch-bnb	0	False	active	1Inch	['1INCH', 'BNB']	0.5		
19	cake-iotx-busd	busd-pairs/IOTX-BUSD.svg	IOTX-BUSD LP	IOTX-BUSD LP	Uses: Pancake	0x36B8B28D37f93372188F2aa2507b68A5CD8b2664	18	#	mooPancakeIOTX-BUSD	0x8a27f380626CAc25DF8D3Ea50Ed1fd7Db882e653	0x8a27f380626CAc25DF8D3Ea50Ed1fd7Db882e653	1	0	lps	cake-iotx-busd	0	False	active	Pancake	['IOTX', 'BUSD']	0.5		
20	cake-lina-busd	busd-pairs/LINA-BUSD.svg	LINA-BUSD LP	LINA-BUSD LP	Uses: Pancake	0xeB325a8ea1c5abf40c7ceAf645596c1F943d0948	18	#	mooPancakeLINA-BUSD	0x310DF4c1DD93337A165AeF8e3d45A770CaaDe3b6	0x310DF4c1DD93337A165AeF8e3d45A770CaaDe3b6	1	0	lps	cake-lina-busd	0	False	active	Pancake	['LINA', 'BUSD']	0.5		
21	cake-usdc-busd	busd-pairs/USDC-BUSD.svg	USDC-BUSD LP	USDC-BUSD LP	Uses: Pancake	0x680Dd100E4b394Bda26A59dD5c119A391e747d18	18	#	mooPancakeUSDC-BUSD	0x0666bDF7187307890D2ACF092493cCEA51A8CD0b	0x0666bDF7187307890D2ACF092493cCEA51A8CD0b	1	0	lps	cake-usdc-busd	0	False	active	Pancake	['USDC', 'BUSD']	0.5		
22	cake-dai-busd	busd-pairs/DAI-BUSD.svg	DAI-BUSD LP	DAI-BUSD LP	Uses: Pancake	0x3aB77e40340AB084c3e23Be8e5A6f7afed9D41DC	18	#	mooPancakeDAI-BUSD	0xE372825C7b436244Cd5fA79cAa16e4Cc3091D4B0	0xE372825C7b436244Cd5fA79cAa16e4Cc3091D4B0	1	0	lps	cake-dai-busd	0	False	active	Pancake	['DAI', 'BUSD']	0.5		
23	sponge-steam-bnb	bnb-pairs/STEAM-BNB.svg	STEAM-BNB LP	STEAM-BNB LP	Uses: Sponge	0x5e797B329e6B82b62442477D976a56864AE4396e	18	#	mooSpongeSTEAM-BNB	0x04D0bE0169694ca083996899a14752c82A953D22	0x04D0bE0169694ca083996899a14752c82A953D22	1	0	lps	sponge-steam-bnb	0	False	active	Sponge	['STEAM', 'BNB']	0.5		
24	salt-salt-busd	degens/salt-busd.png	SALT-BUSD LP	SALT-BUSD LP	Uses: SaltSwap	0x6596f770786915556C47E301cC8290aa14288d99	18	#	mooSaltSalt-BUSD	0x62ad4253FB38265Da05eb389ac547F1B2c09a689	0x62ad4253FB38265Da05eb389ac547F1B2c09a689	1	0	lps	salt-salt-busd	0	False	active	SaltSwap	['SALT', 'BUSD']	0.5		
25	salt-salt-bnb	degens/salt-bnb.png	SALT-BNB LP	SALT-BNB LP	Uses: SaltSwap	0x6284B49544c8900B4612f8450DCE8D484E5c2631	18	#	mooSaltSalt-BNB	0x57e07d6958fd38AA2f46699744e322d3fB3db60f	0x57e07d6958fd38AA2f46699744e322d3fB3db60f	1	0	lps	salt-salt-bnb	0	False	active	SaltSwap	['SALT', 'BNB']	0.5		
26	cake-sushi-eth	uncategorized/SUSHI-ETH.svg	SUSHI-ETH LP	SUSHI-ETH LP	Uses: Pancake	0x17580340F3dAEDAE871a8C21D15911742ec79e0F	18	#	mooPancakeSUSHI-ETH	0x07622B8cF9130934643522E7c9D621707EF1d34F	0x07622B8cF9130934643522E7c9D621707EF1d34F	1	0	lps	cake-sushi-eth	0	False	active	Pancake	['SUSHI', 'ETH']	0.5		
27	crow-crow-busd	crow/crow.png	CROW-BUSD LP	CROW-BUSD LP	Uses: Pancake	0xEC3B97802FB4883FdB7bf70f0924Bf5EE0520cDE	18	#	mooCrowCROW-BUSD	0x39C803716F67D6d4b190E633a961bF3503b8444E	0x39C803716F67D6d4b190E633a961bF3503b8444E	1	0	lps	crow-crow-busd	0	False	active	CrowFinance	['CROW', 'BUSD']	0.5		
28	crow-crow-bnb	crow/crow.png	CROW-BNB LP	CROW-BNB LP	Uses: Pancake	0x74d2a66650bbd8027Fd1F4A3454a16D75A05cc14	18	#	mooCrowCROW-BNB	0xbd701bc24485ebfd3680285fb152509637ab8ad4	0xbd701bc24485ebfd3680285fb152509637ab8ad4	1	0	lps	crow-crow-bnb	0	False	active	CrowFinance	['CROW', 'BNB']	0.5		
29	ramen-ramen-bnb	degens/ramen-bnb.svg	RAMEN-BNB LP	RAMEN-BNB LP	Uses: RamenSwap	0x82f504D655ec6dbA8d5eBbd0036a908A719A295f	18	#	mooRamenRamen-BNB	0x42b41189e9B371B7952b77aE791FE25E78D22681	0x42b41189e9B371B7952b77aE791FE25E78D22681	1	0	lps	ramen-ramen-bnb	0	False	active	RamenSwap	['RAMEN', 'BNB']	0.5		
30	ramen-ramen-busd	degens/ramen-busd.svg	RAMEN-BUSD LP	RAMEN-BUSD LP	Uses: RamenSwap	0x04F81B56B6947Cd0fD35fbea570fc09d1b946C56	18	#	mooRamenRamen-BUSD	0x605d96De6068f08489392a35E9DBE90201574bbC	0x605d96De6068f08489392a35E9DBE90201574bbC	1	0	lps	ramen-ramen-busd	0	False	active	RamenSwap	['RAMEN', 'BUSD']	0.5		
31	cafe-brew-busd	degens/brew-busd.svg	BREW-BUSD LP	BREW-BUSD LP	Uses: CafeSwap	0x1fd9af4999de0d61c2a6cbd3d4892b675a082999	18	#	mooCafeBREW-BUSD	0x10120b5550214ab9451b9b00e4f78e82c02d6482	0x10120b5550214ab9451b9b00e4f78e82c02d6482	1	0	lps	cafe-brew-busd	0	False	active	CafeSwap	['BREW', 'BUSD']	0.5		
32	cafe-brew-bnb	degens/brew-bnb.svg	BREW-BNB LP	BREW-BNB LP	Uses: CafeSwap	0x723203e821f1ff2d0e396d5dd2ea390f3c9d42cf	18	#	mooCafeBREW-BNB	0xEE24B014422a53dA2190a64C0477a300590677f2	0xEE24B014422a53dA2190a64C0477a300590677f2	1	0	lps	cafe-brew-bnb	0	False	active	CafeSwap	['BREW', 'BNB']	0.5		
33	cafe-bifi-bnb	degens/BIFI-BNB.svg	BIFI-BNB LP	BIFI-BNB LP	Uses: CafeSwap	0xd132D2C24F29EE8ABb64a66559d1b7aa627Bd7fD	18	#	mooCafeBIFI-BNB	0x8afc0f9BdC5DcA9f0408Df03A03520bFa98A15aF	0x8afc0f9BdC5DcA9f0408Df03A03520bFa98A15aF	1	0	lps	cafe-bifi-bnb	0	False	active	CafeSwap	['BIFI', 'BNB']	0.5		
34	cake-bry-bnb	bnb-pairs/BRY-BNB.svg	BRY-BNB LP	BRY-BNB LP	Uses: Pancake	0x5E3CD27F36932Bc0314aC4e2510585798C34a2fC	18	#	mooPancakeBRYBNB	0x578C066b5c7289f8Ba7c4DB43c110F19D7c51E03	0x578C066b5c7289f8Ba7c4DB43c110F19D7c51E03	1	0	lps	cake-bry-bnb	0	False	active	Pancake	['BRY', 'BNB']	0.5		
35	cake-zee-bnb	bnb-pairs/ZEE-BNB.svg	ZEE-BNB LP	ZEE-BNB LP	Uses: Pancake	0xB5Ab3996808c7e489DCDc0f1Af2AB212ae0059aF	18	#	mooPancakeZEEBNB	0x29C4C22eC7dF7e936Cb3e6C4A7E5eAE751C7d86B	0x29C4C22eC7dF7e936Cb3e6C4A7E5eAE751C7d86B	1	0	lps	cake-zee-bnb	0	False	active	Pancake	['ZEE', 'BNB']	0.5		
36	cake-xtz-bnb	bnb-pairs/XTZ-BNB.svg	XTZ-BNB LP	XTZ-BNB LP	Uses: Pancake	0x5acaC332F0F49c8bAdC7aFd0134aD19D3DB972e6	18	#	mooPancakeXTZBNB	0x12e09a13f5e2d95b3B8db8741dFeBa453784d1DC	0x12e09a13f5e2d95b3B8db8741dFeBa453784d1DC	1	0	lps	cake-xtz-bnb	0	False	active	Pancake	['XTZ', 'BNB']	0.5		
37	cake-bch-bnb	bnb-pairs/BCH-BNB.svg	BCH-BNB LP	BCH-BNB LP	Uses: Pancake	0x54EdD846dB17f43b6e43296134ECD96284671E81	18	#	mooPancakeBCHBNB	0x646C536865603cFEB51dd35C36FD90296FB8DF26	0x646C536865603cFEB51dd35C36FD90296FB8DF26	1	0	lps	cake-bch-bnb	0	False	active	Pancake	['BCH', 'BNB']	0.5		
38	cake-dodo-bnb	bnb-pairs/DODO-BNB.svg	DODO-BNB LP	DODO-BNB LP	Uses: Pancake	0x9e642d174B14fAEa31D842Dc83037c42b53236E6	18	#	mooPancakeDODO-BNB	0x00AeC34489A7ADE91A0507B6b9dBb0a50938B7c0	0x00AeC34489A7ADE91A0507B6b9dBb0a50938B7c0	1	0	lps	cake-dodo-bnb	0	False	active	Pancake	['DODO', 'BNB']	0.5		
39	cake-swingby-bnb	bnb-pairs/SWINGBY-BNB.svg	SWINGBY-BNB LP	SWINGBY-BNB LP	Uses: Pancake	0x4576C456AF93a37a096235e5d83f812AC9aeD027	18	#	mooPancakeSWINGBY-BNB	0xc1C1eB984218B9570beA53C0Dad14283a6E9E81C	0xc1C1eB984218B9570beA53C0Dad14283a6E9E81C	1	0	lps	cake-swingby-bnb	0	False	active	Pancake	['SWINGBY', 'BNB']	0.5		
40	kebab-usdt-busd	kebab/USDT-BUSD.png	USDT-BUSD LP	USDT-BUSD LP	Uses: Kebab	0xc15fa3E22c912A276550F3E5FE3b0Deb87B55aCd	18	#	mooKebabUSDT-BUSD	0x9dc7d9c4488223c0Ad50F0AE742D80AE1abEc859	0x9dc7d9c4488223c0Ad50F0AE742D80AE1abEc859	1	0	lps	kebab-usdt-busd	0	False	active	Kebab	['USDT', 'BUSD']	0.5		
41	kebab-eth-btcb	kebab/ETH-BTCB.png	ETH-BTCB LP	ETH-BTCB LP	Uses: Kebab	0x7380E10F5C5f9DFF4857de3cf9c39Bb16F4C6dcf	18	#	mooKebabETH-BTCB	0x70CBc8B3a74A857056a6acE7e994229A24D4ab94	0x70CBc8B3a74A857056a6acE7e994229A24D4ab94	1	0	lps	kebab-eth-btcb	0	False	active	Kebab	['ETH', 'BTC']	0.5		
42	monster-msc-busd	single-assets/MSC.png	MSC-BUSD LP	MSC-BUSD LP	Uses: Pancake	0xbCbF0C95C94798fFEF0e71A087a7E98F29D5C0Ee	18	#	mooMonsterMSC-BUSD	0x1d9a453FCe2AC7b92FBe7b33BdC40F6e7aE14F47	0x1d9a453FCe2AC7b92FBe7b33BdC40F6e7aE14F47	1	0	lps	monster-msc-busd	0	False	active	MonsterSlayer	['MSC', 'BUSD']	0.5		
43	monster-msc-bnb	single-assets/MSC.png	MSC-BNB LP	MSC-BNB LP	Uses: Pancake	0x981DB69F2F2F96e0f08D6519BEFDa0B927C22190	18	#	mooMonsterMSC-BNB	0x0F88Ce20f8af6D4c51b635BFBd8DFa03f2a36ACa	0x0F88Ce20f8af6D4c51b635BFBd8DFa03f2a36ACa	1	0	lps	monster-msc-bnb	0	False	active	MonsterSlayer	['MSC', 'BNB']	0.5		
44	cake-bts-busd	single-assets/BTS.png	BTS-BUSD LP	BTS-BUSD LP	Uses: Pancake	0xE86493D416EEB7800F08787de759d179B61dB921	18	#	mooBoltDollarBTS-BUSD	0x6b40106ebEDaA719B14cfbA606b89954EaeeaE9D	0x6b40106ebEDaA719B14cfbA606b89954EaeeaE9D	1	0	lps	cake-bts-busd	0	False	active	BoltDollar	['BTS', 'BUSD']	0.5		
45	cake-btd-busd	single-assets/BTD.png	BTD-BUSD LP	BTD-BUSD LP	Uses: Pancake	0xebaaA639a55ecBEbAC4D7D43A5A6D7C5c1216A09	18	#	mooBoltDollarBTD-BUSD	0x0D3837E00C47353e68680C39e6DA6B5b08fE6897	0x0D3837E00C47353e68680C39e6DA6B5b08fE6897	1	0	lps	cake-btd-busd	0	False	active	BoltDollar	['BTD', 'BUSD']	0.5		
46	auto-btc	single-assets/BTCB.svg	BTCB	BTCB	Uses: Autofarm	0x7130d2a12b9bcbfae4f2634d864a1ee1ce3ead9c	18	#	mooAutoBtc	0xFf750EE63F1E428De1D6C8D9d92676b5FC8376A8	0xFf750EE63F1E428De1D6C8D9d92676b5FC8376A8	1	0	pancake	BTCB	0	True	active	Autofarm	['BTC']	0.5		
47	auto-eth	single-assets/ETH.png	ETH	ETH	Uses: Autofarm	0x2170ed0880ac9a755fd29b2688956bd959f933f8	18	#	mooAutoEth	0x0a406FCBEA86aC57ACcc812E8F1B509acE5E054c	0x0a406FCBEA86aC57ACcc812E8F1B509acE5E054c	1	0	pancake	ETH	0	True	active	Autofarm	['ETH']	0.5		
48	auto-busd	single-assets/BUSD.svg	BUSD	BUSD	Uses: Autofarm	0xe9e7cea3dedca5984780bafc599bd69add087d56	18	#	mooAutoBusdFixed	0x559C88946e1958812dCfD8edd4f89B0C7d811F74	0x559C88946e1958812dCfD8edd4f89B0C7d811F74	1	0	pancake	BUSD	0	True	active	Autofarm	['BUSD']	0.5		
49	auto-usdt	single-assets/USDT.svg	USDT	USDT	Uses: Autofarm	0x55d398326f99059ff775485246999027b3197955	18	#	mooAutoUsdt	0x58327471A57EE89Aa4b91753fF9E09f7291236C7	0x58327471A57EE89Aa4b91753fF9E09f7291236C7	1	0	pancake	USDT	0	True	active	Autofarm	['USDT']	0.5		
50	auto-usdc	single-assets/USDC.svg	USDC	USDC	Uses: Autofarm	0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d	18	#	mooAutoUsdc	0x7E45e8E3404a2C142d7E8eAE94EaEB8641607857	0x7E45e8E3404a2C142d7E8eAE94EaEB8641607857	1	0	pancake	USDC	0	True	active	Autofarm	['USDC']	0.5		
51	kebab-kebab-btc	kebab/KEBAB-BTCB.png	KEBAB-BTCB LP	KEBAB-BTCB LP	Uses: Kebab	0x45D8D5d9bD425Efc26e3259848BCFEfA16F927F0	18	#	mooKebabKEBAB-BTCB	0x02a77B01BE5BB6a73b70E2b5615694F71a2c4F41	0x02a77B01BE5BB6a73b70E2b5615694F71a2c4F41	1	0	lps	kebab-kebab-btc	0	False	active	Kebab	['KEBAB', 'BTC']	0.5		
52	cake-swgb-bnb	bnb-pairs/SWGB-BNB.svg	SWGB-BNB LP	SWGB-BNB LP	Uses: Pancake	0xC1800c29CF91954357cd0bf3f0accAADa3D0109c	18	#	mooPancakeSWGB-BNB	0xed324b068e31c6fB7C7921e79E54d95B1Ca9d759	0xed324b068e31c6fB7C7921e79E54d95B1Ca9d759	1	0	lps	cake-swgb-bnb	0	False	active	Pancake	['SWGB', 'BNB']	0.5		
53	cake-lit-bnb	bnb-pairs/LIT-BNB.svg	LIT-BNB LP	LIT-BNB LP	Uses: Pancake	0x60bB03D1010b99CEAdD0dd209b64bC8bd83da161	18	#	mooPancakeLIT-BNB	0x747f66e2Ab1b887a2207e15ADb7f9dAB79D9EAcf	0x747f66e2Ab1b887a2207e15ADb7f9dAB79D9EAcf	1	0	lps	cake-lit-bnb	0	False	active	Pancake	['LIT', 'BNB']	0.5		
54	cake-hard-bnb	bnb-pairs/HARD-BNB.svg	HARD-BNB LP	HARD-BNB LP	Uses: Pancake	0x9F40e8a2Fcaa267A0c374B6c661E0b372264cC3D	18	#	mooPancakeHARD-BNB	0xc41BB9dEF52Dd7ceD10c27fF2cCEC3299603299B	0xc41BB9dEF52Dd7ceD10c27fF2cCEC3299603299B	1	0	lps	cake-hard-bnb	0	False	active	Pancake	['HARD', 'BNB']	0.5		
55	kebab-bifi-busd	busd-pairs/BIFI-BUSD.png	BIFI-BUSD LP	BIFI-BUSD LP	Uses: Kebab	0xd3F004E303114423f122c78AFDeD4AcfE97675B1	18	#	mooKebabBIFI-BUSD	0x9c1630eA66310fA03D756FBd92B68a1f08c487b6	0x9c1630eA66310fA03D756FBd92B68a1f08c487b6	1	0	lps	kebab-bifi-busd	0	False	active	Kebab	['BIFI', 'BUSD']	0.5		
56	cake-ditto-bnb	bnb-pairs/DITTO-BNB.svg	DITTO-BNB LP	DITTO-BNB LP	Uses: Pancake	0x470BC451810B312BBb1256f96B0895D95eA659B1	18	#	mooPancakeDITTO-BNB	0x8FF55869e05492c127cEEc6A400D7e3803fC44E1	0x8FF55869e05492c127cEEc6A400D7e3803fC44E1	1	0	lps	cake-ditto-bnb	0	False	active	Pancake	['DITTO', 'BNB']	0.5		
57	auto-cake-old	single-assets/SMART.png	CAKE	CAKE	Uses: Autofarm	0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82	18	#	mooAutoCake	0x895CF1E805cBd86355caC101aE9B252c806Dc59b	0x895CF1E805cBd86355caC101aE9B252c806Dc59b	1	0	pancake	Cake	0	True	eol	Autofarm	['CAKE']	0.5		
58	auto-wbnb-old	single-assets/WBNB.svg	WBNB	WBNB	Uses: Autofarm	0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c	18	#	mooAutoWbnb	0x8136C5EE816fD80b80C9679e785F37EBdf2199eE	0x8136C5EE816fD80b80C9679e785F37EBdf2199eE	1	0	pancake	WBNB	0	True	eol	Autofarm	['BNB']	0.5		
59	auto-busd-old	single-assets/BUSD.svg	BUSD	BUSD	Uses: Autofarm	0xe9e7cea3dedca5984780bafc599bd69add087d56	18	#	mooAutoBusd	0xBd198f5132631e597518529268000A0199f07492	0xBd198f5132631e597518529268000A0199f07492	1	0	pancake	BUSD	0	True	active	Autofarm	['BUSD']	0.5		
60	sponge-sponge-bnb	bnb-pairs/SPG-BNB.svg	SPG-BNB LP	SPG-BNB LP	Uses: Sponge	0xBB74572F3C00B4d18fAbeADb7d5984D7b3AE05d1	9	#	mooSpongeSPG-BNB	0x1B3564F698988804b5D05a2C10B1d71bE051662F	0x1B3564F698988804b5D05a2C10B1d71bE051662F	1	0	lps	sponge-sponge-bnb	0	False	active	Sponge	['SPG', 'BNB']	0.5		
61	sponge-soak-bnb	bnb-pairs/SOAK-BNB.svg	SOAK-BNB LP	SOAK-BNB LP	Uses: Sponge	0xc8FCBA816eF9B0c5bc03d9178CfCc7EF785B4f2f	18	#	mooSpongeSOAK-BNB	0xE035Dce0E345Cbd46F3c0dCBf602f96c5F741813	0xE035Dce0E345Cbd46F3c0dCBf602f96c5F741813	1	0	lps	sponge-soak-bnb	0	False	active	Sponge	['SOAK', 'BNB']	0.5		
62	cake-sfp-bnb	bnb-pairs/SFP-BNB.svg	SFP-BNB LP	SFP-BNB LP	Uses: Pancake	0xcBe2cF3bd012e9C1ADE2Ee4d41DB3DaC763e78F3	18	#	mooPancakeSFP-BNB	0xCa38d57755f29c9ad17AbB1A6ae059DdAD913A0e	0xCa38d57755f29c9ad17AbB1A6ae059DdAD913A0e	1	0	lps	cake-sfp-bnb	0	False	active	Pancake	['SFP', 'BNB']	0.5		
63	nyacash-nyas-usdt	single-assets/NYAS.png	NYAS-USDT NYAN-LP	NYAS-USDT NYAN-LP	Uses: Nyanswop	0xd3179b44548f3309622B4F966503C1143e8840Ca	18	#	mooNyacashNYAS-BNB	0x5ee82A50D1C7a1B599a5d4DA2f54AdB0d7a497a6	0x5ee82A50D1C7a1B599a5d4DA2f54AdB0d7a497a6	1	0	lps	nyanswop-nyas-usdt	0	True	active	Nyanswop	['NYAS', 'USDT']	0.5		
